company,title,date,fee_brand_1,total_fee_1,fee_brand_2,total_fee_2,fee_brand_3,total_fee_3,benefit_title_1,benefit_detail_1_1,benefit_detail_1_2,benefit_title_2,benefit_detail_2_1,benefit_detail_2_2,benefit_title_3,benefit_detail_3_1,benefit_detail_3_2,benefit_title_4,benefit_detail_4_1,benefit_detail_4_2,benefit_title_5,benefit_detail_5_1,benefit_detail_5_2,img,url
롯데카드,롯데마트&MAXX 카드, 2022년 10월 22일,Master,"20,000원",국내전용,"18,000원",,,롯데마트,"롯데마트, MAXX 월 최대 30,000원 결제일 할인",,생활업종,"5대 생활업종 월 최대 25,000원 결제일 할인",5대 생활업종 결제일 할인 기준,서비스 제공기준,롯데마트&MAXX 카드 할인 공통기준,실적기준,L.POINT,,,가족카드,,,https://image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoP14312-A14312_nm1_v.png,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=P14312-A14312
롯데카드,LOCA LIKIT 1.2, 2021년 09월 15일,Master,"10,000원",Amex,"10,000원",국내전용,"10,000원",모든 가맹점,모든 가맹점 할인,,온라인,온라인 할인,,공통 안내,할인 공통기준,이용기준,L.POINT,L.POINT 안내,,가족카드,가족카드 안내,,https://image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoP13937-A13937_nm1_v.png,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=P13937-A13937
롯데카드,LOCA LIKIT Eat, 2021년 09월 15일,Master,"10,000원",Amex,"10,000원",국내전용,"10,000원",음식점,음식점 60% 결제일 할인,,배달앱,"배달의 민족, 쿠팡이츠, 요기요 60% 결제일 할인",,커피,"스타벅스, 투썸플레이스, 할리스커피, 폴바셋 60% 결제일 할인",,멤버십,"쿠팡 로켓와우, 네이버플러스 멤버십 60% 결제일 할인",,공통안내,할인 공통기준,실적기준,https://image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoP13943-A13943_nm1_v.png,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=P13943-A13943
롯데카드,롤라카드, 2020년 07월 07일,Master,"15,000원",국내전용,"15,000원",,,적립,롤라머니 7% 적립,SK주유소 롤라머니 1% 적립,L.POINT,,,공통안내,연회비 안내,적립 혜택 이용 기준,,,,,,,https://image.lottecard.co.kr/webapp/mobile/images/card/lola_3.gif,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=P13473-A13473
롯데카드,LOCA LIKIT Play, 2021년 09월 15일,Master,"10,000원",Amex,"10,000원",국내전용,"10,000원",주유,"SK에너지, S-OIL, GS칼텍스, 현대오일뱅크 60% 결제일 할인",,영화,"롯데시네마, CGV, 메가박스 60% 결제일 할인",,스트리밍,"넷플릭스, 왓챠, 유튜브, 멜론, 지니 60% 결제일 할인",,멤버십,"쿠팡 로켓와우, 네이버플러스 멤버십 60% 결제일 할인",,공통안내,할인 공통기준,실적기준,https://image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoP13949-A13949_nm1_v.png,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=P13949-A13949
롯데카드,LOCA LIKIT Shop, 2021년 09월 15일,Master,"10,000원",Amex,"10,000원",국내전용,"10,000원",온라인 쇼핑,"쿠팡, 위메프, 티몬 60% 결제일 할인",,미용실,미용실 60% 결제일 할인,,편의점,"GS25, CU, 세븐일레븐 60% 결제일 할인",,멤버십,"쿠팡 로켓와우, 네이버플러스 멤버십 60% 결제일 할인",,공통안내,할인 공통기준,실적기준,https://image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoP13955-A13955_nm1_v.png,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=P13955-A13955
롯데카드,LOCA 환승 카드, 2023년 05월 15일,Master,"10,000원",국내전용,"10,000원",,,환승 안내,상품 안내,,환승 캐시백,환승 캐시백 혜택,환승 캐시백 혜택 제공기준,L.POINT,,,연회비,연회비 안내,,가족카드,가족카드 안내,,https://image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoP14421-A14421_nm1.png,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=P14421-A14421
롯데카드,LOCA LIKIT, 2021년 06월 18일,Master,"10,000원",국내전용,"10,000원",,,커피 할인,스타벅스 50~60% 결제일 할인,,영화 할인,"롯데시네마, CGV 50% 결제일 할인",,대중교통 할인,"시내버스, 지하철 10% 결제일 할인",,이동통신 할인,"SKT, KT, LG U+ 10% 결제일 할인",,배달앱 할인,"배달의 민족, 쿠팡이츠 5% 결제일 할인",,https://image.lottecard.co.kr/webapp/pc/images/card/localikit_2.gif,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=P13746-A13746
롯데카드,LOCA 나누기 카드, 2022년 07월 04일,Master,"20,000원",국내전용,"20,000원",,,LOCA 나누기,LOCA 나누기 혜택,,L.POINT,,,연회비,연회비 안내,,가족카드,가족카드 안내,,,,,https://image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoP14123-A14123_nm1.png,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=P14123-A14123
롯데카드,LOCA 100 카드, 2021년 01월 05일,Master,"20,000원",Amex,"20,000원",Visa,"20,000원",모든 가맹점/온라인,모든 가맹점 할인,온라인 할인,Flex Voucher,Flex Voucher 제공,할인 기준,공통안내,실적기준,결제일 할인 이용기준 ,L.POINT,,,,,,https://image.lottecard.co.kr/UploadFiles/ecenterPath/cdInfo/ecenterCdInfoP13586-A13586_nm1.png,https://www.lottecard.co.kr/app/LPCDADB_V100.lc?vtCdKndC=P13586-A13586
